id,course_id,quarter,start_date,end_date,start_time,end_time,monday,tuesday,wednesday,thursday,friday,location,primary_instructor,instructors
372a087b-b764-47f3-aa4c-589a874e9906,105684,Autumn,"Sep 26, 2022","Dec 9, 2022",1:30:00 PM,2:50:00 PM,False,True,False,True,False,NVIDIA Auditorium,gullible,"['ahardy', 'anusri', 'hassanf', 'pjames27', 'jesslec', 'asingh13', 'sj99', 'gullible']"
932d95fc-5073-4f7d-bb8b-433681dc1af0,105687,Autumn,"Sep 26, 2022","Dec 9, 2022",10:30:00 AM,11:50:00 AM,False,False,False,False,True,Bishop Auditorium,aviad,"['aviad', 'dixit5', 'ivillar', 'jchens', 'ziangliu', 'mishai', 'lkmsf', 'kianna', 'ekorkmaz', 'shubhamj', 'yushenlu']"
3c420819-0698-4d70-9f89-4664585edfbf,105687,Autumn,"Sep 26, 2022","Dec 9, 2022",10:30:00 AM,11:50:00 AM,True,False,True,False,False,Skilling Auditorium,aviad,"['aviad', 'dixit5', 'ivillar', 'jchens', 'ziangliu', 'mishai', 'lkmsf', 'kianna', 'ekorkmaz', 'shubhamj', 'yushenlu']"
35f7a267-df36-49ee-a780-efad7f51827b,105687,Winter,"Jan 9, 2023","Mar 17, 2023",9:30:00 AM,11:20:00 AM,True,False,True,False,False,NVIDIA Auditorium,anari,"['charikar', 'anari', 'dixit5', 'ivillar', 'jeffhu', 'avelu', 'amritapv', 'tobiasfr', 'hahntrn', 'brn', 'jhaochen', 'atwang', 'rishu', 'shubhamj', 'yushenlu', 'fgodoy', 'rishia', 'rthomp']"
ef3b4798-c264-420a-ae30-fd448e0712ea,105687,Spring,"Apr 3, 2023","Jun 7, 2023",1:30:00 PM,2:50:00 PM,True,False,True,False,False,Bishop Auditorium,marykw,"['sophials', 'marykw', 'dixit5', 'ivillar', 'jeffhu', 'ghugh', 'amritapv', 'callumb', 'yuzu', 'ksu20841', 'mcxu2000', 'adityaag', 'anoosh22', 'hahntrn', 'wxd', 'melinda7', 'rparada', 'bharatkh', 'srnangi', 'yct1998', 'rishu', 'shubhamj', 'fgodoy', 'saumg', 'rqwang', 'tathagat', 'rthomp']"
1c220dbe-2a00-452a-bef3-33bb4139214c,105687,Summer,"Jun 26, 2023","Aug 17, 2023",10:30:00 AM,12:15:00 PM,True,False,True,False,True,Skilling Auditorium,mishai,['mishai']
3fc9671b-e3f0-4f43-890c-f6fbc61ea7f7,214816,Spring,"Apr 3, 2023","Jun 7, 2023",3:00:00 PM,4:20:00 PM,False,True,False,True,False,200-034,htiek,"['htiek', 'tankevin']"
11a59b0b-5301-4d97-a2c8-bb09c26af15a,215686,Spring,"Apr 3, 2023","Jun 7, 2023",1:30:00 PM,2:50:00 PM,True,False,True,False,False,Skilling Auditorium,gvaliant,"['gvaliant', 'csohn', 'armaun', 'sagoyal', 'tobiasfr', 'mglasgow', 'shreyaa', 'swastika']"
4492eeff-58d0-4540-acdc-824316243d0b,207196,Winter,"Jan 9, 2023","Mar 17, 2023",10:30:00 AM,12:20:00 PM,True,False,True,False,False,School of Medicine Room,bejerano,"['wukevin', 'bejerano']"
2aa736bf-b84f-47a8-bcc8-746834836e10,224617,Autumn,"Sep 26, 2022","Dec 9, 2022",1:30:00 PM,4:20:00 PM,False,True,False,True,False,300-300,cwodtke,"['cwodtke', 'kgjert', 'shanaeh', 'yjulloa', 'rosalg']"
f5374336-dd9c-4de2-8b82-b9850abd4772,221395,Winter,"Jan 9, 2023","Mar 17, 2023",1:30:00 PM,2:50:00 PM,True,False,True,False,True,Cemex Auditorium,jweinst,"['sahami', 'reich', 'kotov', 'joyachen', 'dludeke', 'ak33', 'lpistol', 'adrazen', 'evanir', 'baom', 'khattmu', 'ewisner', 'bitter', 'ekorkmaz', 'jdeasy3', 'aminsk', 'asvinod', 'yilinwu', 'sj99', 'gwalker3', 'jweinst']"
cae21ac3-2c45-4ae3-921a-65b3bdafab06,221396,Winter,"Jan 9, 2023","Mar 17, 2023",1:30:00 PM,2:50:00 PM,True,False,True,False,True,Departmental Room,jweinst,"['sahami', 'reich', 'kotov', 'joyachen', 'dludeke', 'ak33', 'adrazen', 'evanir', 'baom', 'khattmu', 'ewisner', 'bitter', 'ekorkmaz', 'jdeasy3', 'asvinod', 'yilinwu', 'sj99', 'gwalker3', 'jweinst']"
babd9085-587c-41ca-9881-833242a77d84,217654,Autumn,"Sep 26, 2022","Dec 9, 2022",4:30:00 PM,5:50:00 PM,False,False,True,False,False,160-127,jocelyng,"['mauria', 'jocelyng']"
92bf52c6-3fcb-4797-b878-06d01a0f3980,202289,Summer,"Jun 26, 2023","Aug 17, 2023",1:30:00 PM,3:30:00 PM,False,True,False,True,False,Gates B1,psyoung,['psyoung']
c864a22e-6cf3-4c3e-b2fd-da41f5e83942,208582,Spring,"Apr 3, 2023","Jun 7, 2023",4:30:00 PM,5:50:00 PM,True,False,True,False,False,200-002,phegarty,"['phegarty', 'lzhu21', 'yichinh']"
84940766-1f12-4891-8a98-e0410fa88607,218561,Spring,"Apr 3, 2023","Jun 7, 2023",3:00:00 PM,4:20:00 PM,False,True,False,True,False,420-040,mchang91,"['mchang91', 'cmoffitt', 'selinons', 'caom', 'makintan', 'tolu316']"
d3cdd310-6478-4257-8996-302d1e7eb701,105705,Winter,"Jan 9, 2023","Mar 17, 2023",12:30:00 PM,1:20:00 PM,True,False,True,False,True,Departmental Room,gretzky,"['gretzky', 'jtieshue', 'ehiguera', 'fedez', 'amohamdy', 'elee0324', 'jahchuen', 'cathyz']"
23203b8c-e0fd-48ea-aa9b-3d0ad878ea35,105705,Spring,"Apr 3, 2023","Jun 7, 2023",12:30:00 PM,1:20:00 PM,True,False,True,False,False,Lathrop 282,gretzky,"['gretzky', 'jdkula', 'jtieshue', 'fedez', 'cathyz']"
838ed0d5-3b39-4275-a1db-6f7a029bd711,216497,Winter,"Jan 9, 2023","Mar 17, 2023",1:30:00 PM,3:20:00 PM,True,False,True,False,False,Gates100,landay,"['landay', 'jiannaso']"
1db7a22d-d578-41a9-8037-f3df7fc1abe8,211164,Winter,"Jan 9, 2023","Mar 17, 2023",12:30:00 PM,1:20:00 PM,True,False,True,False,False,200-002,gretzky,"['gretzky', 'jtieshue', 'ehiguera', 'fedez', 'amohamdy', 'elee0324', 'jahchuen', 'cathyz']"
e700a874-b0f5-4fd7-a6fa-dc842c25fd5e,211164,Spring,"Apr 3, 2023","Jun 7, 2023",12:30:00 PM,1:20:00 PM,True,False,True,False,False,Departmental Room,gretzky,"['gretzky', 'jdkula', 'jtieshue', 'fedez', 'cathyz']"
80e35978-04ce-4e18-ab22-f7c73aacccf7,221525,Autumn,"Sep 26, 2022","Dec 9, 2022",4:30:00 PM,5:20:00 PM,False,False,False,True,False,Hewlett Teaching Center Rm 101,mbernst,"['mbernst', 'lsean', 'jmarkel', 'sotoudeh']"
a6c35bb7-1c43-48a1-b863-3871d869313d,221525,Spring,"Apr 3, 2023","Jun 7, 2023",10:30:00 AM,11:20:00 AM,False,True,False,False,False,Departmental Room,lsean,"['lsean', 'gillespl', 'akshat98', 'yujiet1']"
86b90ee3-cc27-4209-b706-56bd78755777,224857,Spring,"Apr 3, 2023","Jun 7, 2023",10:30:00 AM,11:20:00 AM,False,True,False,False,False,60-109,gillespl,"['lsean', 'gillespl']"
ef9be272-edaf-4ada-9cf1-4e47f82d1722,105715,Autumn,"Sep 26, 2022","Dec 9, 2022",4:30:00 PM,5:50:00 PM,True,False,False,False,False,380-380C,sahami,"['sahami', 'jasrod', 'elee0324', 'baumanl']"
64a27c6f-3f36-433c-a863-f915b1df74f3,105715,Winter,"Jan 9, 2023","Mar 17, 2023",4:30:00 PM,5:50:00 PM,True,False,False,False,False,Gates B12,sahami,"['sahami', 'jasrod', 'luciam', 'baumanl']"
424bda1b-1118-4953-95af-5d5348d836c4,105715,Spring,"Apr 3, 2023","Jun 7, 2023",4:30:00 PM,5:50:00 PM,True,False,False,False,False,STLC 114,sahami,"['sahami', 'jasrod', 'luciam', 'baumanl']"
b64dde4e-be11-4a4e-98e5-d11f733397af,217674,Winter,"Jan 9, 2023","Mar 17, 2023",4:30:00 PM,5:20:00 PM,False,False,True,False,False,Gates B12,sahami,"['sahami', 'jasrod', 'luciam', 'baumanl']"
