"id","course_id","quarter","start_time","end_time","monday","tuesday","wednesday","thursday","friday","location","primary_instructor_id","primary_instructor_name","instructors"
"6ae90bf9-d3a2-4b98-b9c8-730232da88d9","209907","winter","10:30:00 AM","11:50:00 AM","True","False","True","False","False","200-305","koli","Kathryn Olivarius","[""koli"", ""benhalom""]"
"e3253c1e-d3f0-4dc8-8302-ff4d0fc32a0c","221806","winter","12:00:00 PM","1:20:00 PM","False","True","False","True","False","McCullough 122","gbjacks","Gabrielle Jackson","[""gbjacks"", ""ahazel""]"
"7d335f0f-e8c6-4c2e-a53b-84b8c131d2f4","212065","winter","1:30:00 PM","2:50:00 PM","False","True","False","True","False","420-040","deagle","David Eagleman","[""gdowling"", ""komalk"", ""ag12"", ""harrycar"", ""landy"", ""deagle""]"
"aed2464e-d2fe-46c5-a03a-3e51fe8b90b9","222829","spring","9:00:00 AM","10:20:00 AM","False","True","False","True","False","Gates B12","praina","Priyanka Raina","[""praina"", ""kzf"", ""yuchenm""]"
"53496e06-6964-45c7-a31e-26d18ff30fee","224007","spring","2:30:00 PM","3:20:00 PM","True","False","True","False","False","Hewlett Teaching Center 201","pedwards","Paul Edwards","[""sluby"", ""pedwards""]"
"9258d5f2-0669-4099-a1cb-028b9b7c42a4","204253","winter","5:30:00 PM","6:50:00 PM","False","False","True","False","False","STLC 114","bcui","Bianxiao Cui","[""jks425"", ""bcui""]"
"170d4882-1b37-4504-b7f5-e58c1e88ea10","205594","winter","1:30:00 PM","2:50:00 PM","False","True","False","True","False","200-002","atrotsyu","Artem Trotsyuk","[""dmagnus"", ""atrotsyu"", ""trudykim"", ""anoushka""]"
"20ba7473-bd95-4ef0-8e94-95cabacedc52","113458","winter","9:30:00 AM","11:20:00 AM","True","False","True","False","False","Lathrop 294","kbagwell","Kyle Bagwell","[""kbagwell""]"
"483f06a1-b5c0-4dfb-8ad9-9671c2bfb230","223576","fall","1:30:00 PM","2:50:00 PM","False","True","False","True","False","McCullough 115","asalleo","Alberto Salleo","[""asalleo"", ""glecroy6"", ""mattilst""]"
"93dffe4d-95e0-401f-9238-19d4612261be","117505","spring","1:30:00 PM","2:50:00 PM","False","True","False","True","False","380-381T","abouzaid","Mohammed Abouzaid","[""abouzaid""]"
"ed68c208-9bff-40a9-8806-fcc478653e34","105761","fall","3:00:00 PM","4:20:00 PM","False","True","False","True","False","Gates B1","aaiken","Alex Aiken","[""aaiken"", ""tigu"", ""jchen18"", ""rohany"", ""xniac""]"
"b6e292d6-bf1a-414a-bc96-6f7a3818cf09","216982","fall","12:00:00 PM","1:20:00 PM","False","True","False","True","False","380-380W","ekessler","Elizabeth Kessler","[""ekessler"", ""jholbert""]"
"ecfcd398-75b3-4b0a-9a2d-e78a54a67931","103507","spring","1:30:00 PM","2:50:00 PM","False","True","False","True","False","Hewlett Teaching Center 200","jacobson","Mark Jacobson","[""jacobson""]"
"4e4c86c5-bf92-43d6-aa10-20af69677c37","212110","winter","10:30:00 AM","12:00:00 PM","False","False","False","False","True","School of Medicine Room","blakej","Blake Johnson","[""blakej""]"
"cb6ffd4c-1b5b-442c-a1bf-5df82d364fc4","218366","winter","1:30:00 PM","2:50:00 PM","False","True","False","True","False","420-041","jdegen","Judith Degen","[""alexiah"", ""branpap"", ""jdegen""]"
"c9962d2c-ffad-4789-9d4c-7dbe0cee9a17","224099","summer","12:00:00 PM","1:50:00 PM","False","False","True","False","True","420-041","sumer","Sumer Vaid","[""sumer"", ""hanat18""]"
